isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,content
9780439554930,0439554934,Harry Potter and the Sorcerer's Stone (Book 1),,"Rowling, J.K.",Juvenile Fiction,http://books.google.com/books/content?id=9jA0BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In Harry Potter and the Sorcerer's Stone, Harry, an orphan, lives with the Dursleys, his horrible aunt and uncle, and their abominable son, Dudley. One day just before his eleventh birthday, an owl tries to deliver a mysterious letter—the first of a sequence of events that end in Harry meeting a giant man named Hagrid. Hagrid explains Harry's history to him: When he was a baby, the Dark wizard, Lord Voldemort, attacked and killed his parents in an attempt to kill Harry; but the only mark on Harry was a mysterious lightning-bolt scar on his forehead. Now he has been invited to attend Hogwarts School of Witchcraft and Wizardry, where the headmaster is the great wizard Albus Dumbledore. Harry visits Diagon Alley to get his school supplies, especially his very own wand. To get to school, he takes the Hogwarts Express from platform nine and three-quarters at King's Cross Station. On the train, he meets two fellow students who will become his closest friends: Ron Weasley and Hermione Granger. Harry is assigned to Gryffindor House at Hogwarts, and soon becomes the youngest-ever Seeker on the House Quidditch team. He also studies Potions with Professor Severus Snape, who displays a deep and abiding dislike for Harry, and Defense Against the Dark Arts with nervous Professor Quirrell; he and his friends defeat a mountain troll, help Hagrid raise a dragon, and explore the wonderful, fascinating world of Hogwarts. But all events lead irrevocably toward a second encounter with Lord Voldemort, who seeks an object of legend known as the Sorcerer's Stone…",2015,4.47,320,5629932,"harry potter and the sorcerer's stone (book 1) rowling, j.k. juvenile fiction in harry potter and the sorcerer's stone, harry, an orphan, lives with the dursleys, his horrible aunt and uncle, and their abominable son, dudley. one day just before his eleventh birthday, an owl tries to deliver a mysterious letter—the first of a sequence of events that end in harry meeting a giant man named hagrid. hagrid explains harry's history to him: when he was a baby, the dark wizard, lord voldemort, attacked and killed his parents in an attempt to kill harry; but the only mark on harry was a mysterious lightning-bolt scar on his forehead. now he has been invited to attend hogwarts school of witchcraft and wizardry, where the headmaster is the great wizard albus dumbledore. harry visits diagon alley to get his school supplies, especially his very own wand. to get to school, he takes the hogwarts express from platform nine and three-quarters at king's cross station. on the train, he meets two fellow students who will become his closest friends: ron weasley and hermione granger. harry is assigned to gryffindor house at hogwarts, and soon becomes the youngest-ever seeker on the house quidditch team. he also studies potions with professor severus snape, who displays a deep and abiding dislike for harry, and defense against the dark arts with nervous professor quirrell; he and his friends defeat a mountain troll, help hagrid raise a dragon, and explore the wonderful, fascinating world of hogwarts. but all events lead irrevocably toward a second encounter with lord voldemort, who seeks an object of legend known as the sorcerer's stone…"
9780316015844,0316015849,Twilight,,Stephenie Meyer,Young Adult Fiction,,"With 160 million copies of the Twilight Saga sold worldwide, this addictive love story between a teenage girl and a vampire redefined romance for a generation. Here's the book that started it all. Isabella Swan's move to Forks, a small, perpetually rainy town in Washington, could have been the most boring move she ever made. But once she meets the mysterious and alluring Edward Cullen, Isabella's life takes a thrilling and terrifying turn. Up until now, Edward has managed to keep his vampire identity a secret in the small community he lives in, but now nobody is safe, especially Isabella, the person Edward holds most dear. The lovers find themselves balanced precariously on the point of a knife-between desire and danger. Deeply romantic and extraordinarily suspenseful, Twilightcaptures the struggle between defying our instincts and satisfying our desires. This is a love story with bite. ""People do not want to just read Meyer's books; they want to climb inside them and live there.""-Time ""A literary phenomenon.""-The New York Times",2006,3.59,498,4367341,"twilight stephenie meyer young adult fiction with 160 million copies of the twilight saga sold worldwide, this addictive love story between a teenage girl and a vampire redefined romance for a generation. here's the book that started it all. isabella swan's move to forks, a small, perpetually rainy town in washington, could have been the most boring move she ever made. but once she meets the mysterious and alluring edward cullen, isabella's life takes a thrilling and terrifying turn. up until now, edward has managed to keep his vampire identity a secret in the small community he lives in, but now nobody is safe, especially isabella, the person edward holds most dear. the lovers find themselves balanced precariously on the point of a knife-between desire and danger. deeply romantic and extraordinarily suspenseful, twilightcaptures the struggle between defying our instincts and satisfying our desires. this is a love story with bite. ""people do not want to just read meyer's books; they want to climb inside them and live there.""-time ""a literary phenomenon.""-the new york times"
9780618260300,0618260307,"The Hobbit, Or, There and Back Again",,John Ronald Reuel Tolkien,Juvenile Fiction,http://books.google.com/books/content?id=ljWL5A7D2JAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A newly rejacketed edition of the classic tale chronicles the adventures of the inhabitants of Middle-earth and of Bilbo Baggins, the hobbit who brought home to The Shire the One Ring of Power.",2001,4.26,366,2364968,"the hobbit, or, there and back again john ronald reuel tolkien juvenile fiction a newly rejacketed edition of the classic tale chronicles the adventures of the inhabitants of middle-earth and of bilbo baggins, the hobbit who brought home to the shire the one ring of power."
9781416524793,1416524797,Angels & Demons,,Dan Brown,Fiction,,"The explosive Robert Langdon thriller from Dan Brown, the #1 New York Times bestselling author of The Da Vinci Code and Inferno—now a major film directed by Ron Howard and starring Tom Hanks and Felicity Jones. Angels & Demons careens from enlightening epiphanies to dark truths as the battle between science and religion turns to war. This is the book that started it all: we meet Robert Langdon for the first time, caught up in a race against time to find an apocalyptic time-bomb, planted by an ancient secret society that has surfaced to carry out its ultimate threat: to destroy the Vatican.",2006,3.88,736,2279854,"angels & demons dan brown fiction the explosive robert langdon thriller from dan brown, the #1 new york times bestselling author of the da vinci code and inferno—now a major film directed by ron howard and starring tom hanks and felicity jones. angels & demons careens from enlightening epiphanies to dark truths as the battle between science and religion turns to war. this is the book that started it all: we meet robert langdon for the first time, caught up in a race against time to find an apocalyptic time-bomb, planted by an ancient secret society that has surfaced to carry out its ultimate threat: to destroy the vatican."
9780439655484,043965548X,Harry Potter and the Prisoner of Azkaban (Book 3),,"Rowling, J.K.",Juvenile Fiction,http://books.google.com/books/content?id=IZN5BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black. Convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the Dark Lord, Voldemort, and might even have assisted in the deaths of James and Lily Potter—Harry Potter’s parents. Now Black has escaped, leaving only two clues as to where he might be headed: Harry Potter's defeat of You-Know-Who was Black's downfall as well. And the Azkaban guards heard him muttering in his sleep, ""He’s at Hogwarts... he’s at Hogwarts."" Of course, Harry already had plenty to worry about. After inflating his nasty aunt and running away on the magical Knight Bus, he finds he’s being pursued by death omens at every turn. He receives two wonderful gifts: a top-of-the-line Firebolt broomstick, and the Marauder’s Map, a magical diagram of Hogwarts made by the mysterious “Moony, Wormtail, Padfoot, and Prongs.” Hermione disappears frequently, burdened down by a seemingly impossible course schedule. And the soulless Dementors have come to guard Hogwarts—supposedly to protect Harry from Sirius Black, but they terrify Harry more than the fugitive ever could. To strengthen himself against them, Harry reaches out to Remus Lupin, the Defense Against the Dark Arts teacher who was once a friend of his father’s. Lupin teaches Harry about the Patronus Charm, a defensive measure well above the level of magic generally mastered by wizards Harry’s age. But even with his broom, his map, his magic, and his loyal friends, Harry isn't safe. Because on top of everything else, there’s a traitor hidden at Hogwarts…",2015,4.55,435,2149872,"harry potter and the prisoner of azkaban (book 3) rowling, j.k. juvenile fiction for twelve long years, the dread fortress of azkaban held an infamous prisoner named sirius black. convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the dark lord, voldemort, and might even have assisted in the deaths of james and lily potter—harry potter’s parents. now black has escaped, leaving only two clues as to where he might be headed: harry potter's defeat of you-know-who was black's downfall as well. and the azkaban guards heard him muttering in his sleep, ""he’s at hogwarts... he’s at hogwarts."" of course, harry already had plenty to worry about. after inflating his nasty aunt and running away on the magical knight bus, he finds he’s being pursued by death omens at every turn. he receives two wonderful gifts: a top-of-the-line firebolt broomstick, and the marauder’s map, a magical diagram of hogwarts made by the mysterious “moony, wormtail, padfoot, and prongs.” hermione disappears frequently, burdened down by a seemingly impossible course schedule. and the soulless dementors have come to guard hogwarts—supposedly to protect harry from sirius black, but they terrify harry more than the fugitive ever could. to strengthen himself against them, harry reaches out to remus lupin, the defense against the dark arts teacher who was once a friend of his father’s. lupin teaches harry about the patronus charm, a defensive measure well above the level of magic generally mastered by wizards harry’s age. but even with his broom, his map, his magic, and his loyal friends, harry isn't safe. because on top of everything else, there’s a traitor hidden at hogwarts…"
9780439064866,0439064864,Harry Potter and the Chamber of Secrets (Book 2),,"Rowling, J.K.",Juvenile Fiction,http://books.google.com/books/content?id=ZTE0BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In Harry Potter and the Chamber of Secrets, the summer after Harry’s first year at Hogwarts has been his worst summer ever… the Dursleys more distant and horrible than ever before. But just as he’s packing his bags to return to school, a creature named Dobby the house-elf announces that if Harry goes back to Hogwarts, disaster will strike. And it turns out, Dobby is right. Harry and Ron miss the Hogwarts Express, so they fly to school in a blue Ford Anglia, crash landing in the notorious Whomping Willow. Soon other worries accumulate: the outrageously stuck-up new professor Gilderoy Lockhart; a ghost named Moaning Myrtle, who haunts the girls' bathroom; the strange behavior of Ron's little sister, Ginny Weasley; rumors about the ""Chamber of Secrets,"" a cavern buried deep below Hogwarts; and a magical diary owned by Tom Riddle, a Hogwarts student of long ago. Harry is also shocked to discover that he can speak Parseltongue, the language of snakes - a rare ability that Lord Voldemort also possessed - and that anti-Muggle prejudice exists in the Wizarding world, even affecting Harry's friend Hermione. But all of these seem like minor concerns when someone starts turning Hogwarts students to stone: an evildoer said to be the fearsome Heir of Salazar Slytherin, on of the founders of the school. Could it be Draco Malfoy, Harry's most poisonous rival? Could it be Hagrid whose mysterious past is finally told? Or could it be the one person everyone at Hogwarts most suspects: Harry Potter himself?",2015,4.41,341,2115562,"harry potter and the chamber of secrets (book 2) rowling, j.k. juvenile fiction in harry potter and the chamber of secrets, the summer after harry’s first year at hogwarts has been his worst summer ever… the dursleys more distant and horrible than ever before. but just as he’s packing his bags to return to school, a creature named dobby the house-elf announces that if harry goes back to hogwarts, disaster will strike. and it turns out, dobby is right. harry and ron miss the hogwarts express, so they fly to school in a blue ford anglia, crash landing in the notorious whomping willow. soon other worries accumulate: the outrageously stuck-up new professor gilderoy lockhart; a ghost named moaning myrtle, who haunts the girls' bathroom; the strange behavior of ron's little sister, ginny weasley; rumors about the ""chamber of secrets,"" a cavern buried deep below hogwarts; and a magical diary owned by tom riddle, a hogwarts student of long ago. harry is also shocked to discover that he can speak parseltongue, the language of snakes - a rare ability that lord voldemort also possessed - and that anti-muggle prejudice exists in the wizarding world, even affecting harry's friend hermione. but all of these seem like minor concerns when someone starts turning hogwarts students to stone: an evildoer said to be the fearsome heir of salazar slytherin, on of the founders of the school. could it be draco malfoy, harry's most poisonous rival? could it be hagrid whose mysterious past is finally told? or could it be the one person everyone at hogwarts most suspects: harry potter himself?"
9780618346257,0618346252,The Fellowship of the Ring,Being the First Part of the Lord of the Rings,J. R. R. Tolkien,Fiction,http://books.google.com/books/content?id=S35cUR-u4y4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"After discovering the true nature of the One Ring, Bilbo Baggins entrusts it to the care of his young cousin, Frodo, who is charged with bringing about its destruction and thus foiling the plans of the Dark Lord.",2003,4.35,398,2009749,"the fellowship of the ring j. r. r. tolkien fiction after discovering the true nature of the one ring, bilbo baggins entrusts it to the care of his young cousin, frodo, who is charged with bringing about its destruction and thus foiling the plans of the dark lord."
9780439358071,0439358078,Harry Potter and the Order of the Phoenix (Book 5),,"Rowling, J.K.",Juvenile Fiction,http://books.google.com/books/content?id=OIJ5BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In Harry Potter and the Order of the Phoenix, Lord Voldemort has returned to the Wizarding world, presenting a threat that neither the magical government nor the authorities at Hogwarts can stop. In response to his reappearance, Dumbledore reactivates the Order of the Phoenix, a secret society which works to defeat the Dark Lord's minions and protect his targets—especially Harry Potter. But Harry doesn’t want to be protected. Even as the Ministry of Magic denies his claims, The Daily Prophet discredits him, and even Dumbledore won’t look him in the eye, Harry grows more and more determined to fight his lifelong enemy Voldemort—if only he had the “weapon” the Order is guarding. In the meantime, he visits his godfather at his ghoulish London home, Grimmauld Place, and learns more about Voldemort’s deep reach into Wizarding history and the Wizarding world. Back at Hogwarts, Harry must deal with a Defense Against the Dark Arts teacher with a personality like poisoned honey; a surprising new member of the Gryffindor Quidditch team; the possibility of his first real romance; and the looming nightmare of the Ordinary Wizarding Level exams. He’s haunted by dreams of a heavy door at the end of a silent corridor, and a vision of his father and the young Severus Snape that changes everything he thought he knew about them. Even the joy of working with ""Dumbledore's Army"" -a group of Hogwart's students dedicated to defeating Voldemort- can't dispel the gathering darkness. Soon Harry will discover the true depth and strength of his friends; their boundless loyalty and unbearable sacrifices. His fate depends on them all.",2015,4.49,870,1996446,"harry potter and the order of the phoenix (book 5) rowling, j.k. juvenile fiction in harry potter and the order of the phoenix, lord voldemort has returned to the wizarding world, presenting a threat that neither the magical government nor the authorities at hogwarts can stop. in response to his reappearance, dumbledore reactivates the order of the phoenix, a secret society which works to defeat the dark lord's minions and protect his targets—especially harry potter. but harry doesn’t want to be protected. even as the ministry of magic denies his claims, the daily prophet discredits him, and even dumbledore won’t look him in the eye, harry grows more and more determined to fight his lifelong enemy voldemort—if only he had the “weapon” the order is guarding. in the meantime, he visits his godfather at his ghoulish london home, grimmauld place, and learns more about voldemort’s deep reach into wizarding history and the wizarding world. back at hogwarts, harry must deal with a defense against the dark arts teacher with a personality like poisoned honey; a surprising new member of the gryffindor quidditch team; the possibility of his first real romance; and the looming nightmare of the ordinary wizarding level exams. he’s haunted by dreams of a heavy door at the end of a silent corridor, and a vision of his father and the young severus snape that changes everything he thought he knew about them. even the joy of working with ""dumbledore's army"" -a group of hogwart's students dedicated to defeating voldemort- can't dispel the gathering darkness. soon harry will discover the true depth and strength of his friends; their boundless loyalty and unbearable sacrifices. his fate depends on them all."
9780439785969,0439785960,Harry Potter and the Half-Blood Prince (Book 6),,"Rowling, J.K.",Juvenile Fiction,http://books.google.com/books/content?id=QzI0BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When Harry Potter and the Half-Blood Prince opens, the war against Voldemort has begun. The Wizarding world has split down the middle, and as the casualties mount, the effects even spill over onto the Muggles. Dumbledore is away from Hogwarts for long periods, and the Order of the Phoenix has suffered grievous losses. And yet, as in all wars, life goes on. Harry, Ron, and Hermione, having passed their O.W.L. level exams, start on their specialist N.E.W.T. courses. Sixth-year students learn to Apparate, losing a few eyebrows in the process. Teenagers flirt and fight and fall in love. Harry becomes captain of the Gryffindor Quidditch team, while Draco Malfoy pursues his own dark ends. And classes are as fascinating and confounding as ever, as Harry receives some extraordinary help in Potions from the mysterious Half-Blood Prince. Most importantly, Dumbledore and Harry work together to uncover the full and complex story of a boy once named Tom Riddle—the boy who became Lord Voldemort. Like Harry, he was the son of one Muggle-born and one Wizarding parent, raised unloved, and a speaker of Parseltongue. But the similarities end there, as the teenaged Riddle became deeply interested in the Dark objects known as Horcruxes: objects in which a wizard can hide part of his soul, if he dares splinter that soul through murder. Harry must use all the tools at his disposal to draw a final secret out of one of Riddle’s teachers, the sly Potions professor Horace Slughorn. Finally Harry and Dumbledore hold the key to the Dark Lord’s weaknesses... until a shocking reversal exposes Dumbledore’s own vulnerabilities, and casts Harry’s—and Hogwarts’s—future in shadow.",2015,4.56,652,1944099,"harry potter and the half-blood prince (book 6) rowling, j.k. juvenile fiction when harry potter and the half-blood prince opens, the war against voldemort has begun. the wizarding world has split down the middle, and as the casualties mount, the effects even spill over onto the muggles. dumbledore is away from hogwarts for long periods, and the order of the phoenix has suffered grievous losses. and yet, as in all wars, life goes on. harry, ron, and hermione, having passed their o.w.l. level exams, start on their specialist n.e.w.t. courses. sixth-year students learn to apparate, losing a few eyebrows in the process. teenagers flirt and fight and fall in love. harry becomes captain of the gryffindor quidditch team, while draco malfoy pursues his own dark ends. and classes are as fascinating and confounding as ever, as harry receives some extraordinary help in potions from the mysterious half-blood prince. most importantly, dumbledore and harry work together to uncover the full and complex story of a boy once named tom riddle—the boy who became lord voldemort. like harry, he was the son of one muggle-born and one wizarding parent, raised unloved, and a speaker of parseltongue. but the similarities end there, as the teenaged riddle became deeply interested in the dark objects known as horcruxes: objects in which a wizard can hide part of his soul, if he dares splinter that soul through murder. harry must use all the tools at his disposal to draw a final secret out of one of riddle’s teachers, the sly potions professor horace slughorn. finally harry and dumbledore hold the key to the dark lord’s weaknesses... until a shocking reversal exposes dumbledore’s own vulnerabilities, and casts harry’s—and hogwarts’s—future in shadow."
9780140283334,0140283331,Lord of the Flies,,William Golding,Fiction,,The classic study of human nature which depicts the degeneration of a group of schoolboys marooned on a desert island,1999,3.67,182,1861140,lord of the flies william golding fiction the classic study of human nature which depicts the degeneration of a group of schoolboys marooned on a desert island
9780743477116,0743477111,Romeo and Juliet,,William Shakespeare,Drama,http://books.google.com/books/content?id=1cEsNsWYbK4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Offers explanatory notes on pages facing the text of the play, as well as an introduction to Shakespeare's language, life, and theater",1992,3.74,283,1811259,"romeo and juliet william shakespeare drama offers explanatory notes on pages facing the text of the play, as well as an introduction to shakespeare's language, life, and theater"
9780061122415,0061122416,The Alchemist,,Paulo Coelho,Fiction,http://books.google.com/books/content?id=pTr44Sx6oWQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""My heart is afraid that it will have to suffer,"" the boy told the alchemist one night as they looked up at the moonless sky."" Tell your heart that the fear of suffering is worse than the suffering itself. And that no heart has ever suffered when it goes in search of its dreams."" Every few decades a book is published that changes the lives of its readers forever. The Alchemist is such a book. With over a million and a half copies sold around the world, The Alchemist has already established itself as a modern classic, universally admired. Paulo Coelho's charming fable, now available in English for the first time, will enchant and inspire an even wider audience of readers for generations to come. The Alchemist is the magical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure as extravagant as any ever found. From his home in Spain he journeys to the markets of Tangiers and across the Egyptian desert to a fateful encounter with the alchemist. The story of the treasures Santiago finds along the way teaches us, as only a few stories have done, about the essential wisdom of listening to our hearts, learning to read the omens strewn along life's path, and, above all, following our dreams.",2006,3.85,197,1592632,"the alchemist paulo coelho fiction ""my heart is afraid that it will have to suffer,"" the boy told the alchemist one night as they looked up at the moonless sky."" tell your heart that the fear of suffering is worse than the suffering itself. and that no heart has ever suffered when it goes in search of its dreams."" every few decades a book is published that changes the lives of its readers forever. the alchemist is such a book. with over a million and a half copies sold around the world, the alchemist has already established itself as a modern classic, universally admired. paulo coelho's charming fable, now available in english for the first time, will enchant and inspire an even wider audience of readers for generations to come. the alchemist is the magical story of santiago, an andalusian shepherd boy who yearns to travel in search of a worldly treasure as extravagant as any ever found. from his home in spain he journeys to the markets of tangiers and across the egyptian desert to a fateful encounter with the alchemist. the story of the treasures santiago finds along the way teaches us, as only a few stories have done, about the essential wisdom of listening to our hearts, learning to read the omens strewn along life's path, and, above all, following our dreams."
9780307277671,0307277674,Robert Langdon Novels,The Da Vinci Code : a Novel. 02,Dan Brown,Art museum curators,http://books.google.com/books/content?id=hPbKKnD7qosC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"While in Paris on business, Harvard symbologist Robert Langdon receives an urgent late-night phone call: the elderly curator of the Louvre has been murdered inside the museum. Near the body, police have found a baffling cipher. While working to solve the enigmatic riddle, Langdon is stunned to discover it leads to a trail of clues hidden in the works of Da Vinci--clues visible for all to see--yet ingeniously disguised by the painter. Langdon joins forces with a gifted French cryptologist, Sophie Neveu, and learns the late curator was involved in the Priory of Sion--an actual secret society whose members included Sir Isaac Newton, Botticelli, Victor Hugo, and Da Vinci, among others. In a breathless race through Paris, London, and beyond, Langdon and Neveu match wits with a faceless power broker who seems to anticipate their every move. Unless Langdon and Neveu can decipher the labyrinthine puzzle in time, the Priory's ancient secret--and an explosive historical truth--will be lost forever.",2003,3.82,489,1588890,"robert langdon novels dan brown art museum curators while in paris on business, harvard symbologist robert langdon receives an urgent late-night phone call: the elderly curator of the louvre has been murdered inside the museum. near the body, police have found a baffling cipher. while working to solve the enigmatic riddle, langdon is stunned to discover it leads to a trail of clues hidden in the works of da vinci--clues visible for all to see--yet ingeniously disguised by the painter. langdon joins forces with a gifted french cryptologist, sophie neveu, and learns the late curator was involved in the priory of sion--an actual secret society whose members included sir isaac newton, botticelli, victor hugo, and da vinci, among others. in a breathless race through paris, london, and beyond, langdon and neveu match wits with a faceless power broker who seems to anticipate their every move. unless langdon and neveu can decipher the labyrinthine puzzle in time, the priory's ancient secret--and an explosive historical truth--will be lost forever."
9780385732550,0385732554,The Giver,,Lois Lowry,Juvenile Fiction,http://books.google.com/books/content?id=oZRlYDfxXpQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"At the age of twelve, Jonas, a young boy from a seemingly utopian, futuristic world, is singled out to receive special training from The Giver, who alone holds the memories of the true joys and pain of life. An ALA Notable Book for Children & Newbery Medal Winner. Reissue.",2006,4.12,208,1464909,"the giver lois lowry juvenile fiction at the age of twelve, jonas, a young boy from a seemingly utopian, futuristic world, is singled out to receive special training from the giver, who alone holds the memories of the true joys and pain of life. an ala notable book for children & newbery medal winner. reissue."
9780142437209,0142437204,Jane Eyre,,Charlotte Brontë,Fiction,http://books.google.com/books/content?id=wRYXFHqwW98C&printsec=frontcover&img=1&zoom=1&source=gbs_api,Retells the classic story of an orphaned young woman who accepts employment as a governess and soon finds herself in love with her employer.,2003,4.11,532,1328143,jane eyre charlotte brontë fiction retells the classic story of an orphaned young woman who accepts employment as a governess and soon finds herself in love with her employer.
9780143038412,0143038419,"Eat, Pray, Love","One Woman's Search for Everything Across Italy, India, and Indonesia",Elizabeth Gilbert,Biography & Autobiography,http://books.google.com/books/content?id=zquLDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,GILBERT/EAT PRAY LOVE,2007,3.54,368,1309623,"eat, pray, love elizabeth gilbert biography & autobiography gilbert/eat pray love"
9780064410939,0064410935,Charlotte's Web (full color),,E. B. White,Juvenile Fiction,http://books.google.com/books/content?id=pylJbfNIwoIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Beloved by generations, Charlotte's Web and Stuart Little are two of the most cherished stories of all time. Now, for the first time ever, these treasured classics are available in lavish new collectors' editions. In addition to a larger trim size, the original black-and-white art by Garth Williams has been lovingly colorized by renowned illustrator Rosemary Wells, adding another dimension to these two perfect books for young and old alike.",2001,4.16,184,1229902,"charlotte's web (full color) e. b. white juvenile fiction beloved by generations, charlotte's web and stuart little are two of the most cherished stories of all time. now, for the first time ever, these treasured classics are available in lavish new collectors' editions. in addition to a larger trim size, the original black-and-white art by garth williams has been lovingly colorized by renowned illustrator rosemary wells, adding another dimension to these two perfect books for young and old alike."
9781565125605,1565125606,Water for Elephants,A Novel,Sara Gruen,Fiction,http://books.google.com/books/content?id=M8xNxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Ninety-something-year-old Jacob Jankowski remembers his time in the circus as a young man during the Great Depression, and his friendship with Marlena, the star of the equestrian act, and Rosie, the elephant, who gave them hope. Reader's Guide included. Reprint.",2007,4.08,335,1198632,"water for elephants sara gruen fiction ninety-something-year-old jacob jankowski remembers his time in the circus as a young man during the great depression, and his friendship with marlena, the star of the equestrian act, and rosie, the elephant, who gave them hope. reader's guide included. reprint."
9780060929879,0060929871,Brave New World,,Aldous Huxley,Fiction,http://books.google.com/books/content?id=-iU5Aq3WuGgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Huxley's classic prophetic novel describes the socialized horrors of a futuristic utopia devoid of individual freedom,1998,3.98,288,1173739,brave new world aldous huxley fiction huxley's classic prophetic novel describes the socialized horrors of a futuristic utopia devoid of individual freedom
9780393978896,0393978893,Wuthering Heights,"The 1847 Text, Backgrounds and Contexts, Criticism","Emily Bronte, Emily Brontë",Fiction,http://books.google.com/books/content?id=dBKCQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The text of the novel is based on the first edition of 1847.,2003,3.84,464,1041597,"wuthering heights emily bronte, emily brontë fiction the text of the novel is based on the first edition of 1847."
9781400032716,1400032717,The curious incident of the dog in the night-time,a novel,Mark Haddon,Fiction,,"Despite his overwhelming fear of interacting with people, Christopher, a mathematically-gifted, autistic fifteen-year-old boy, decides to investigate the murder of a neighbor's dog and uncovers secret information about his mother.",2003,3.87,226,991627,"the curious incident of the dog in the night-time mark haddon fiction despite his overwhelming fear of interacting with people, christopher, a mathematically-gifted, autistic fifteen-year-old boy, decides to investigate the murder of a neighbor's dog and uncovers secret information about his mother."
9780743454537,0743454537,My Sister's Keeper,A Novel,Jodi Picoult,Fiction,http://books.google.com/books/content?id=vGZSso_uyWsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A popular novel about a girl suing her parents because they want her to donate a kidney to her sister was named by the American Library Association as one of the top 10 books banned in 2009, with the novel being pulled from the shelves for a host of reasons, including homosexuality, sexually explicit material, religious viewpoint, drugs and suicide. Reprint. A best-selling book.",2005,4.07,423,950402,"my sister's keeper jodi picoult fiction a popular novel about a girl suing her parents because they want her to donate a kidney to her sister was named by the american library association as one of the top 10 books banned in 2009, with the novel being pulled from the shelves for a host of reasons, including homosexuality, sexually explicit material, religious viewpoint, drugs and suicide. reprint. a best-selling book."
9780385490818,038549081X,The Handmaid's Tale,,Margaret Atwood,Fiction,http://books.google.com/books/content?id=4QXnYRaBUFAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A chilling look at the near future presents the story of Offred, a Handmaid in the Republic of Gilead, once the United States, an oppressive world where women are no longer allowed to read and are valued only as long as they are viable for reproduction. Reissue.",1998,4.09,344,932832,"the handmaid's tale margaret atwood fiction a chilling look at the near future presents the story of offred, a handmaid in the republic of gilead, once the united states, an oppressive world where women are no longer allowed to read and are valued only as long as they are viable for reproduction. reissue."
9780450040184,0450040186,The Shining,,Stephen King,Boys,http://books.google.com/books/content?id=tVt-uQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Danny is only five years old, but he is a 'shiner', aglow with psychic voltage. When his father becomes caretaker of an old hotel, his visions grow out of control. Cut off by blizzards, the hotel seems to develop an evil force, and who are the mysterious guests in the supposedly empty hotel?",1977,4.21,447,911271,"the shining stephen king boys danny is only five years old, but he is a 'shiner', aglow with psychic voltage. when his father becomes caretaker of an old hotel, his visions grow out of control. cut off by blizzards, the hotel seems to develop an evil force, and who are the mysterious guests in the supposedly empty hotel?"
9780439244190,0439244196,Holes,,Louis Sachar,Blind,http://books.google.com/books/content?id=ISFr-QqgHUYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Newbery Medal Award Winner 1999.,1998,3.95,233,844072,holes louis sachar blind newbery medal award winner 1999.
9780141439471,0141439475,"Frankenstein, Or, The Modern Prometheus",,Mary Wollstonecraft Shelley,Fiction,http://books.google.com/books/content?id=6W24a29p9GQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Edited by Maurice Hindle.,2002,3.78,335,827747,"frankenstein, or, the modern prometheus mary wollstonecraft shelley fiction edited by maurice hindle."
9780743247542,074324754X,The Glass Castle,A Memoir,Jeannette Walls,Biography & Autobiography,http://books.google.com/books/content?id=V8kznwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In the tradition of Mary Karr's ""The Liars' Club"" and Rick Bragg's ""All Over But the Shouting,"" Walls has written a stunning and life-affirming memoir about surviving a willfully impoverished, eccentric, and severely misguided family.",2006,4.26,288,752358,"the glass castle jeannette walls biography & autobiography in the tradition of mary karr's ""the liars' club"" and rick bragg's ""all over but the shouting,"" walls has written a stunning and life-affirming memoir about surviving a willfully impoverished, eccentric, and severely misguided family."
